"No.","Time","Source","Destination","Protocol","Length","Info"
"39","28.497060","192.168.33.100","192.168.33.251","DNS","71","Standard query 0x885e A example.org"
"40","28.497698","192.168.33.100","192.168.33.251","DNS","71","Standard query 0xca8b A example.org"
"41","28.497857","192.168.33.100","192.168.33.251","DNS","71","Standard query 0x4088 AAAA example.org"
"42","28.498128","192.168.33.100","192.168.33.251","DNS","73","Standard query 0xd87a A ipv4only.arpa"
"43","28.498228","192.168.33.100","192.168.33.251","DNS","73","Standard query 0xbf7b AAAA ipv4only.arpa"
"44","28.503296","192.168.33.100","192.168.33.251","DNS","84","Standard query 0xf5b2 A detectportal.firefox.com"
"45","28.503659","192.168.33.100","192.168.33.251","DNS","84","Standard query 0x1d44 A detectportal.firefox.com"
"46","28.503727","192.168.33.100","192.168.33.251","DNS","84","Standard query 0x0646 AAAA detectportal.firefox.com"
"47","28.526259","192.168.33.100","34.117.237.239","TLSv1.3","130","Change Cipher Spec, Application Data"
"48","28.527334","192.168.33.100","34.117.237.239","TLSv1.3","236","Application Data"
"49","28.527705","192.168.33.100","34.117.237.239","TLSv1.3","247","Application Data"
"50","28.533231","192.168.33.251","192.168.33.100","DNS","249","Standard query response 0xa17e A content-signature-2.cdn.mozilla.net CNAME content-signature-chains.prod.autograph.services.mozaws.net CNAME prod.content-signature-chains.prod.webservices.mozgcp.net A 34.160.144.191"
"51","28.542996","192.168.33.251","192.168.33.100","DNS","261","Standard query response 0xb87d AAAA content-signature-2.cdn.mozilla.net CNAME content-signature-chains.prod.autograph.services.mozaws.net CNAME prod.content-signature-chains.prod.webservices.mozgcp.net AAAA 2600:1901:0:92a9::"
"52","28.543304","192.168.33.100","192.168.33.251","DNS","95","Standard query 0x094c A content-signature-2.cdn.mozilla.net"
"53","28.543531","192.168.33.100","192.168.33.251","DNS","95","Standard query 0xc34a AAAA content-signature-2.cdn.mozilla.net"
"54","28.546296","192.168.33.251","192.168.33.100","DNS","255","Standard query response 0x094c A content-signature-2.cdn.mozilla.net CNAME content-signature-chains.prod.autograph.services.mozaws.net CNAME prod.content-signature-chains.prod.webservices.mozgcp.net A 34.160.144.191"
"55","28.548245","192.168.33.251","192.168.33.100","DNS","267","Standard query response 0xc34a AAAA content-signature-2.cdn.mozilla.net CNAME content-signature-chains.prod.autograph.services.mozaws.net CNAME prod.content-signature-chains.prod.webservices.mozgcp.net AAAA 2600:1901:0:92a9::"
"56","28.548744","192.168.33.251","192.168.33.100","DNS","87","Standard query response 0x885e A example.org A 93.184.216.34"
"57","28.548744","192.168.33.251","192.168.33.100","DNS","87","Standard query response 0xca8b A example.org A 93.184.216.34"
"58","28.548744","192.168.33.251","192.168.33.100","DNS","105","Standard query response 0xd87a A ipv4only.arpa A 192.0.0.170 A 192.0.0.171"
"59","28.549529","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","94","46206  >  443 [SYN] Seq=0 Win=64900 Len=0 MSS=1298 SACK_PERM TSval=673085896 TSecr=0 WS=128"
"60","28.556252","192.168.33.251","192.168.33.100","DNS","99","Standard query response 0x4088 AAAA example.org AAAA 2606:2800:220:1:248:1893:25c8:1946"
"61","28.556426","192.168.33.251","192.168.33.100","DNS","130","Standard query response 0xbf7b AAAA ipv4only.arpa SOA sns.dns.icann.org"
"62","28.556724","192.168.33.251","192.168.33.100","DNS","195","Standard query response 0xf5b2 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME prod.detectportal.prod.cloudops.mozgcp.net A 34.107.221.82"
"63","28.557032","192.168.33.100","34.107.221.82","TCP","74","45934  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3691346693 TSecr=0 WS=128"
"64","28.572114","192.168.33.251","192.168.33.100","DNS","207","Standard query response 0x0646 AAAA detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME prod.detectportal.prod.cloudops.mozgcp.net AAAA 2600:1901:0:38d7::"
"65","28.577870","34.117.237.239","192.168.33.100","TLSv1.3","652","Application Data, Application Data"
"66","28.577927","192.168.33.100","34.117.237.239","TCP","66","37488  >  443 [ACK] Seq=933 Ack=5102 Win=64128 Len=0 TSval=1366051160 TSecr=595580975"
"67","28.578721","192.168.33.100","34.117.237.239","TLSv1.3","97","Application Data"
"68","28.583595","34.117.237.239","192.168.33.100","TLSv1.3","97","Application Data"
